Country,Year,Life Expectancy
United States,1950,68.1
United States,1951,68.2
United States,1952,68.4
United States,1953,68.7
United States,1954,69.5
United States,1955,69.5
United States,1956,69.6
United States,1957,69.4
United States,1958,69.7
United States,1959,69.9
United States,1960,69.8
United States,1961,70.2
United States,1962,70.1
United States,1963,69.9
United States,1964,70.2
United States,1965,70.2
United States,1966,70.2
United States,1967,70.5
United States,1968,70.2
United States,1969,70.5
United States,1970,70.7
United States,1971,71.1
United States,1972,71.2
United States,1973,71.4
United States,1974,71.9
United States,1975,72.5
United States,1976,72.8
United States,1977,73.2
United States,1978,73.4
United States,1979,73.8
United States,1980,73.7
United States,1981,74.1
United States,1982,74.5
United States,1983,74.5
United States,1984,74.7
United States,1985,74.6
United States,1986,74.7
United States,1987,74.9
United States,1988,74.8
United States,1989,75.1
United States,1990,75.4
United States,1991,75.5
United States,1992,75.8
United States,1993,75.6
United States,1994,75.7
United States,1995,75.9
United States,1996,76.2
United States,1997,76.5
United States,1998,76.7
United States,1999,76.7
United States,2000,76.8
United States,2001,76.9
United States,2002,77
United States,2003,77.2
United States,2004,77.6
United States,2005,77.6
United States,2006,77.8
United States,2007,78.1
United States,2008,78.2
United States,2009,78.6
United States,2010,78.8
United States,2011,78.8
United States,2012,78.9
United States,2013,79
United States,2014,79
United States,2015,78.9
United States,2016,78.8
United States,2017,78.8
United States,2018,79
United States,2019,79.1
United States,2020,77.4
United States,2021,77.2
United States,2022,78.2
United States,2023,79.7
United States,2024,79.9
United States,2025,80
United States,2026,80.2
United States,2027,80.4
United States,2028,80.5
United States,2029,80.7
United States,2030,80.8
United States,2031,81
United States,2032,81.1
United States,2033,81.3
United States,2034,81.4
United States,2035,81.6
United States,2036,81.7
United States,2037,81.9
United States,2038,82
United States,2039,82.2
United States,2040,82.3
United States,2041,82.5
United States,2042,82.6
United States,2043,82.7
United States,2044,82.9
United States,2045,83
United States,2046,83.2
United States,2047,83.3
United States,2048,83.5
United States,2049,83.6
United States,2050,83.7
United States,2051,83.8
United States,2052,84
United States,2053,84.1
United States,2054,84.2
United States,2055,84.4
United States,2056,84.5
United States,2057,84.6
United States,2058,84.7
United States,2059,84.9
United States,2060,85
United States,2061,85.1
United States,2062,85.2
United States,2063,85.4
United States,2064,85.5
United States,2065,85.6
United States,2066,85.7
United States,2067,85.8
United States,2068,86
United States,2069,86.1
United States,2070,86.2
United States,2071,86.3
United States,2072,86.4
United States,2073,86.5
United States,2074,86.7
United States,2075,86.8
United States,2076,86.9
United States,2077,87
United States,2078,87.1
United States,2079,87.2
United States,2080,87.4
United States,2081,87.5
United States,2082,87.6
United States,2083,87.7
United States,2084,87.8
United States,2085,87.9
United States,2086,88.1
United States,2087,88.2
United States,2088,88.3
United States,2089,88.4
United States,2090,88.5
United States,2091,88.6
United States,2092,88.7
United States,2093,88.8
United States,2094,89
United States,2095,89.1
United States,2096,89.2
United States,2097,89.3
United States,2098,89.4
United States,2099,89.5
United States,2100,89.6
